day_of_week,month,meal_slot,scenario,academic_event,is_raining,attendance_pct,actual_attendance
5,3,lunch,rain_weekend,,1,0.7005,420
5,3,dinner,rain_weekend,,1,0.7506,450
6,3,breakfast,fest,fest,0,0.2034,122
6,3,lunch,fest,fest,0,0.167,100
6,3,dinner,fest,fest,0,0.4016,241
0,3,breakfast,fest,fest,0,0.225,135
0,3,lunch,fest,fest,0,0.1577,95
0,3,dinner,fest,fest,0,0.3939,236
1,3,breakfast,fest,fest,0,0.1974,118
1,3,lunch,fest,fest,0,0.1764,106
1,3,dinner,fest,fest,0,0.3744,225
2,3,breakfast,fest,fest,0,0.2116,127
2,3,lunch,fest,fest,0,0.1818,109
2,3,dinner,fest,fest,0,0.3593,216
3,3,breakfast,baseline,,0,0.503,302
3,3,lunch,baseline,,0,0.5033,302
3,3,dinner,baseline,,0,0.7358,441
4,3,breakfast,baseline,,0,0.4607,276
4,3,lunch,baseline,,0,0.6145,369
4,3,dinner,baseline,,0,0.6446,387
5,3,breakfast,weekend,,0,0.3415,205
5,3,lunch,weekend,,0,0.6141,368
5,3,dinner,weekend,,0,0.8375,502
6,3,breakfast,best_menu,,0,0.5307,318
6,3,lunch,best_menu,,0,0.7326,440
6,3,dinner,best_menu,,0,0.8759,526
0,3,breakfast,baseline,,0,0.471,283
0,3,lunch,baseline,,0,0.7211,433
0,3,dinner,baseline,,0,0.8206,492
1,3,breakfast,baseline,,0,0.5128,308
1,3,lunch,baseline,,0,0.6556,393
1,3,dinner,baseline,,0,0.7997,480
2,3,breakfast,baseline,,0,0.4524,271
2,3,lunch,baseline,,0,0.598,359
2,3,dinner,baseline,,0,0.8094,486
3,3,breakfast,baseline,,0,0.4782,287
3,3,lunch,baseline,,0,0.6237,374
3,3,dinner,baseline,,0,0.8203,492
4,3,breakfast,baseline,,0,0.5155,309
4,3,lunch,baseline,,0,0.6704,402
4,3,dinner,baseline,,0,0.6557,393
5,3,breakfast,weekend,,0,0.2719,163
5,3,lunch,weekend,,0,0.671,403
5,3,dinner,weekend,,0,0.878,527
6,3,breakfast,best_menu,,0,0.5035,302
6,3,lunch,best_menu,,0,0.7351,441
6,3,dinner,best_menu,,0,0.9024,541
0,3,breakfast,baseline,,0,0.4258,256
0,3,lunch,baseline,,0,0.6491,389
0,3,dinner,baseline,,0,0.8193,492
1,3,breakfast,baseline,,0,0.3675,221
1,3,lunch,baseline,,0,0.6488,389
1,3,dinner,baseline,,0,0.7543,453
2,3,breakfast,baseline,,0,0.5082,305
2,3,lunch,baseline,,0,0.5288,317
2,3,dinner,baseline,,0,0.7145,429
3,3,breakfast,baseline,,0,0.3931,236
3,3,lunch,baseline,,0,0.7081,425
3,3,dinner,baseline,,0,0.7721,463
4,3,breakfast,baseline,,0,0.4294,258
4,3,lunch,baseline,,0,0.6746,405
4,3,dinner,baseline,,0,0.8141,488
5,3,breakfast,weekend,,0,0.3056,183
5,3,lunch,weekend,,0,0.7151,429
5,3,dinner,weekend,,0,0.7292,438
6,3,breakfast,best_menu,,0,0.5268,316
6,3,lunch,best_menu,,0,0.8245,495
6,3,dinner,best_menu,,0,0.972,583
0,4,breakfast,baseline,,0,0.4455,267
0,4,lunch,baseline,,0,0.7084,425
0,4,dinner,baseline,,0,0.7054,423
1,4,breakfast,baseline,,0,0.4573,274
1,4,lunch,baseline,,0,0.6761,406
1,4,dinner,baseline,,0,0.7507,450
2,4,breakfast,baseline,,0,0.4808,289
2,4,lunch,baseline,,0,0.676,406
2,4,dinner,baseline,,0,0.7832,470
3,4,breakfast,baseline,,0,0.4426,266
3,4,lunch,baseline,,0,0.5318,319
3,4,dinner,baseline,,0,0.8463,508
4,4,breakfast,baseline,,0,0.4539,272
4,4,lunch,baseline,,0,0.6997,420
4,4,dinner,baseline,,0,0.6539,392
5,4,breakfast,weekend,,0,0.2616,157
5,4,lunch,weekend,,0,0.6555,393
5,4,dinner,weekend,,0,0.8109,487
6,4,breakfast,best_menu,,0,0.5451,327
6,4,lunch,best_menu,,0,0.7096,426
6,4,dinner,best_menu,,0,0.7337,440
0,4,breakfast,baseline,,0,0.433,260
0,4,lunch,baseline,,0,0.6566,394
0,4,dinner,baseline,,0,0.7921,475
1,4,breakfast,baseline,,0,0.4262,256
1,4,lunch,baseline,,0,0.6403,384
1,4,dinner,baseline,,0,0.7956,477
2,4,breakfast,baseline,,0,0.4691,281
2,4,lunch,baseline,,0,0.5976,359
2,4,dinner,baseline,,0,0.7392,444
3,4,breakfast,baseline,,0,0.4795,288
3,4,lunch,baseline,,0,0.6134,368
3,4,dinner,baseline,,0,0.7813,469
4,4,breakfast,rain,,1,0.3137,188
4,4,lunch,rain,,1,0.5687,341
4,4,dinner,rain,,1,0.5324,319
5,4,breakfast,weekend,,0,0.2644,159
5,4,lunch,weekend,,0,0.5693,342
5,4,dinner,weekend,,0,0.7408,444
6,4,breakfast,best_menu,,0,0.5212,313
6,4,lunch,best_menu,,0,0.8127,488
6,4,dinner,best_menu,,0,0.9784,587
0,4,breakfast,baseline,,0,0.4475,269
0,4,lunch,baseline,,0,0.7019,421
0,4,dinner,baseline,,0,0.7555,453
1,4,breakfast,baseline,,0,0.4286,257
1,4,lunch,baseline,,0,0.5583,335
1,4,dinner,baseline,,0,0.6967,418
2,4,breakfast,baseline,,0,0.4789,287
2,4,lunch,baseline,,0,0.7205,432
2,4,dinner,baseline,,0,0.6671,400
3,4,breakfast,baseline,,0,0.4125,248
3,4,lunch,baseline,,0,0.6574,394
3,4,dinner,baseline,,0,0.7421,445
4,4,breakfast,baseline,,0,0.4834,290
4,4,lunch,baseline,,0,0.6027,362
4,4,dinner,baseline,,0,0.718,431
5,4,breakfast,exam,exam,0,0.616,370
5,4,lunch,exam,exam,0,0.7584,455
5,4,dinner,exam,exam,0,0.8535,512
6,4,breakfast,exam,exam,0,0.6688,401
6,4,lunch,exam,exam,0,0.8108,486
6,4,dinner,exam,exam,0,0.8429,506
0,4,breakfast,exam,exam,0,0.7055,423
0,4,lunch,exam,exam,0,0.7139,428
0,4,dinner,exam,exam,0,0.9439,566
1,4,breakfast,exam,exam,0,0.6432,386
1,4,lunch,exam,exam,0,0.7538,452
1,4,dinner,exam,exam,0,1.0,600
2,4,breakfast,exam,exam,0,0.6536,392
2,4,lunch,exam,exam,0,0.7427,446
2,4,dinner,exam,exam,0,0.9413,565
3,4,breakfast,exam,exam,0,0.6673,400
3,4,lunch,exam,exam,0,0.7318,439
3,4,dinner,exam,exam,0,0.8884,533
4,4,breakfast,exam,exam,0,0.5673,340
4,4,lunch,exam,exam,0,0.6117,367
4,4,dinner,exam,exam,0,0.7892,474
5,4,breakfast,rain_exam,exam,1,0.5697,342
5,4,lunch,rain_exam,exam,1,0.77,462
5,4,dinner,rain_exam,exam,1,0.7982,479
6,4,breakfast,exam,exam,0,0.6681,401
6,4,lunch,exam,exam,0,0.7095,426
6,4,dinner,exam,exam,0,0.847,508
0,4,breakfast,exam,exam,0,0.6822,409
0,4,lunch,exam,exam,0,0.7134,428
0,4,dinner,exam,exam,0,0.9404,564
1,4,breakfast,exam,exam,0,0.6503,390
1,4,lunch,exam,exam,0,0.8857,531
1,4,dinner,exam,exam,0,0.8821,529
2,5,breakfast,post_holiday,holiday,0,0.3861,232
2,5,lunch,post_holiday,holiday,0,0.5668,340
2,5,dinner,post_holiday,holiday,0,0.6305,378
3,5,breakfast,post_holiday,holiday,0,0.3594,216
3,5,lunch,post_holiday,holiday,0,0.5603,336
3,5,dinner,post_holiday,holiday,0,0.5902,354
4,5,breakfast,post_holiday,holiday,0,0.4021,241
4,5,lunch,post_holiday,holiday,0,0.5705,342
4,5,dinner,post_holiday,holiday,0,0.6883,413
5,5,breakfast,post_holiday,holiday,0,0.3746,225
5,5,lunch,post_holiday,holiday,0,0.5613,337
5,5,dinner,post_holiday,holiday,0,0.6177,371
6,5,breakfast,post_holiday,holiday,0,0.3272,196
6,5,lunch,post_holiday,holiday,0,0.5271,316
6,5,dinner,post_holiday,holiday,0,0.5325,319
0,5,breakfast,post_holiday,holiday,0,0.4252,255
0,5,lunch,post_holiday,holiday,0,0.5805,348
0,5,dinner,post_holiday,holiday,0,0.5969,358
1,5,breakfast,post_holiday,holiday,0,0.2924,175
1,5,lunch,post_holiday,holiday,0,0.5181,311
1,5,dinner,post_holiday,holiday,0,0.756,454
2,5,breakfast,post_holiday,holiday,0,0.3662,220
2,5,lunch,post_holiday,holiday,0,0.5618,337
2,5,dinner,post_holiday,holiday,0,0.5542,333
3,5,breakfast,post_holiday,holiday,0,0.3864,232
3,5,lunch,post_holiday,holiday,0,0.5379,323
3,5,dinner,post_holiday,holiday,0,0.6734,404
4,5,breakfast,post_holiday,holiday,0,0.4038,242
4,5,lunch,post_holiday,holiday,0,0.5118,307
4,5,dinner,post_holiday,holiday,0,0.6788,407
5,5,breakfast,post_holiday,holiday,0,0.3536,212
5,5,lunch,post_holiday,holiday,0,0.5032,302
5,5,dinner,post_holiday,holiday,0,0.701,421
6,5,breakfast,post_holiday,holiday,0,0.4264,256
6,5,lunch,post_holiday,holiday,0,0.5225,313
6,5,dinner,post_holiday,holiday,0,0.7071,424
0,5,breakfast,post_holiday,holiday,0,0.3913,235
0,5,lunch,post_holiday,holiday,0,0.6095,366
0,5,dinner,post_holiday,holiday,0,0.615,369
1,5,breakfast,post_holiday,holiday,0,0.3696,222
1,5,lunch,post_holiday,holiday,0,0.5613,337
1,5,dinner,post_holiday,holiday,0,0.554,332
2,5,breakfast,post_holiday,holiday,0,0.3668,220
2,5,lunch,post_holiday,holiday,0,0.5914,355
2,5,dinner,post_holiday,holiday,0,0.512,307
3,5,breakfast,post_holiday,holiday,0,0.3316,199
3,5,lunch,post_holiday,holiday,0,0.5059,304
3,5,dinner,post_holiday,holiday,0,0.6459,388
4,5,breakfast,post_holiday,holiday,0,0.3756,225
4,5,lunch,post_holiday,holiday,0,0.5348,321
4,5,dinner,post_holiday,holiday,0,0.6436,386
5,5,breakfast,post_holiday,holiday,0,0.405,243
5,5,lunch,post_holiday,holiday,0,0.5704,342
5,5,dinner,post_holiday,holiday,0,0.6528,392  
6,5,breakfast,post_holiday,holiday,0,0.3924,235
6,5,lunch,post_holiday,holiday,0,0.6299,378
6,5,dinner,post_holiday,holiday,0,0.6289,377
0,5,breakfast,post_holiday,holiday,0,0.3602,216
0,5,lunch,post_holiday,holiday,0,0.4969,298
0,5,dinner,post_holiday,holiday,0,0.5703,342
1,5,breakfast,post_holiday,holiday,0,0.3676,221
1,5,lunch,post_holiday,holiday,0,0.5032,302
1,5,dinner,post_holiday,holiday,0,0.6298,378
2,5,breakfast,post_holiday,holiday,0,0.3849,231
2,5,lunch,post_holiday,holiday,0,0.5085,305
2,5,dinner,post_holiday,holiday,0,0.6789,407
3,5,breakfast,post_holiday,holiday,0,0.3784,227
3,5,lunch,post_holiday,holiday,0,0.5134,308
3,5,dinner,post_holiday,holiday,0,0.6611,397
4,5,breakfast,post_holiday,holiday,0,0.3389,203
4,5,lunch,post_holiday,holiday,0,0.5387,323
4,5,dinner,post_holiday,holiday,0,0.6466,388
5,5,breakfast,post_holiday,holiday,0,0.3892,233
5,5,lunch,post_holiday,holiday,0,0.4786,287
5,5,dinner,post_holiday,holiday,0,0.701,421
6,5,breakfast,post_holiday,holiday,0,0.3756,225
6,5,lunch,post_holiday,holiday,0,0.5574,334
6,5,dinner,post_holiday,holiday,0,0.5112,307
0,5,breakfast,post_holiday,holiday,0,0.3743,225
0,5,lunch,post_holiday,holiday,0,0.4952,297
0,5,dinner,post_holiday,holiday,0,0.6695,402
1,5,breakfast,post_holiday,holiday,0,0.3473,208
1,5,lunch,post_holiday,holiday,0,0.5054,303
1,5,dinner,post_holiday,holiday,0,0.6453,387
2,5,breakfast,post_holiday,holiday,0,0.3458,208
2,5,lunch,post_holiday,holiday,0,0.5525,331
2,5,dinner,post_holiday,holiday,0,0.7256,435
3,5,breakfast,post_holiday,holiday,0,0.3703,222
3,5,lunch,post_holiday,holiday,0,0.4701,282
3,5,dinner,post_holiday,holiday,0,0.5684,341
4,5,breakfast,post_holiday,holiday,0,0.3674,220
4,5,lunch,post_holiday,holiday,0,0.5769,346
4,5,dinner,post_holiday,holiday,0,0.6456,387
5,6,breakfast,post_holiday,holiday,0,0.3991,239
5,6,lunch,post_holiday,holiday,0,0.5166,310
5,6,dinner,post_holiday,holiday,0,0.6979,419
6,6,breakfast,post_holiday,holiday,0,0.3638,218
6,6,lunch,post_holiday,holiday,0,0.5651,339
6,6,dinner,post_holiday,holiday,0,0.672,403
0,6,breakfast,rain_weekend,holiday,1,0.173,104
0,6,lunch,rain_weekend,holiday,1,0.6258,375
0,6,dinner,rain_weekend,holiday,1,0.6115,367
1,6,breakfast,post_holiday,holiday,0,0.3397,204
1,6,lunch,post_holiday,holiday,0,0.561,337
1,6,dinner,post_holiday,holiday,0,0.5925,355
2,6,breakfast,post_holiday,holiday,0,0.4052,243
2,6,lunch,post_holiday,holiday,0,0.5521,331
2,6,dinner,post_holiday,holiday,0,0.6022,361
3,6,breakfast,post_holiday,holiday,0,0.3698,222
3,6,lunch,post_holiday,holiday,0,0.5431,326
3,6,dinner,post_holiday,holiday,0,0.647,388
4,6,breakfast,post_holiday,holiday,0,0.3978,239
4,6,lunch,post_holiday,holiday,0,0.5186,311
4,6,dinner,post_holiday,holiday,0,0.6125,367
5,6,breakfast,post_holiday,holiday,0,0.3514,211
5,6,lunch,post_holiday,holiday,0,0.4371,262
5,6,dinner,post_holiday,holiday,0,0.715,429
6,6,breakfast,post_holiday,holiday,0,0.3709,223
6,6,lunch,post_holiday,holiday,0,0.4577,275
6,6,dinner,post_holiday,holiday,0,0.6176,371
0,6,breakfast,rain_weekend,holiday,1,0.197,118
0,6,lunch,rain_weekend,holiday,1,0.5466,328
0,6,dinner,rain_weekend,holiday,1,0.6976,419
1,6,breakfast,rain_weekend,holiday,1,0.1761,106
1,6,lunch,rain_weekend,holiday,1,0.6336,380
1,6,dinner,rain_weekend,holiday,1,0.7761,466
2,6,breakfast,rain_weekend,holiday,1,0.1946,117
2,6,lunch,rain_weekend,holiday,1,0.5932,356
2,6,dinner,rain_weekend,holiday,1,0.6995,420
3,6,breakfast,post_holiday,holiday,0,0.3444,207
3,6,lunch,post_holiday,holiday,0,0.4667,280
3,6,dinner,post_holiday,holiday,0,0.6417,385
4,6,breakfast,post_holiday,holiday,0,0.44,264
4,6,lunch,post_holiday,holiday,0,0.5341,320
4,6,dinner,post_holiday,holiday,0,0.7178,431
5,6,breakfast,rain_weekend,holiday,1,0.2094,126
5,6,lunch,rain_weekend,holiday,1,0.6153,369
5,6,dinner,rain_weekend,holiday,1,0.6203,372
6,6,breakfast,post_holiday,holiday,0,0.4205,252
6,6,lunch,post_holiday,holiday,0,0.5276,317
6,6,dinner,post_holiday,holiday,0,0.5476,329
0,6,breakfast,post_holiday,holiday,0,0.3557,213
0,6,lunch,post_holiday,holiday,0,0.5268,316
0,6,dinner,post_holiday,holiday,0,0.6292,378
1,6,breakfast,rain_weekend,holiday,1,0.1741,104
1,6,lunch,rain_weekend,holiday,1,0.6231,374
1,6,dinner,rain_weekend,holiday,1,0.6388,383
2,6,breakfast,post_holiday,holiday,0,0.4074,244
2,6,lunch,post_holiday,holiday,0,0.5535,332
2,6,dinner,post_holiday,holiday,0,0.5972,358
3,6,breakfast,rain_weekend,holiday,1,0.2134,128
3,6,lunch,rain_weekend,holiday,1,0.6168,370
3,6,dinner,rain_weekend,holiday,1,0.7937,476
4,6,breakfast,post_holiday,holiday,0,0.3952,237
4,6,lunch,post_holiday,holiday,0,0.5344,321
4,6,dinner,post_holiday,holiday,0,0.6747,405
5,6,breakfast,post_holiday,holiday,0,0.4217,253
5,6,lunch,post_holiday,holiday,0,0.5191,311
5,6,dinner,post_holiday,holiday,0,0.6113,367
6,6,breakfast,rain_weekend,holiday,1,0.2127,128
6,6,lunch,rain_weekend,holiday,1,0.6719,403
6,6,dinner,rain_weekend,holiday,1,0.6422,385
0,6,breakfast,post_holiday,holiday,0,0.393,236
0,6,lunch,post_holiday,holiday,0,0.531,319
0,6,dinner,post_holiday,holiday,0,0.6816,409
1,6,breakfast,post_holiday,holiday,0,0.358,215
1,6,lunch,post_holiday,holiday,0,0.5078,305
1,6,dinner,post_holiday,holiday,0,0.5158,309
2,6,breakfast,rain_weekend,holiday,1,0.1854,111
2,6,lunch,rain_weekend,holiday,1,0.5903,354
2,6,dinner,rain_weekend,holiday,1,0.726,436
3,6,breakfast,rain_weekend,holiday,1,0.1835,110
3,6,lunch,rain_weekend,holiday,1,0.5973,358
3,6,dinner,rain_weekend,holiday,1,0.7226,434
4,6,breakfast,post_holiday,holiday,0,0.3554,213
4,6,lunch,post_holiday,holiday,0,0.5659,340
4,6,dinner,post_holiday,holiday,0,0.6221,373
5,6,breakfast,post_holiday,holiday,0,0.3829,230
5,6,lunch,post_holiday,holiday,0,0.5721,343
5,6,dinner,post_holiday,holiday,0,0.5809,349
6,6,breakfast,rain_weekend,holiday,1,0.1966,118
6,6,lunch,rain_weekend,holiday,1,0.5416,325
6,6,dinner,rain_weekend,holiday,1,0.5833,350
0,7,breakfast,post_holiday,holiday,0,0.3726,224
0,7,lunch,post_holiday,holiday,0,0.4974,298
0,7,dinner,post_holiday,holiday,0,0.6285,377
1,7,breakfast,rain_weekend,holiday,1,0.1635,98
1,7,lunch,rain_weekend,holiday,1,0.5282,317
1,7,dinner,rain_weekend,holiday,1,0.6174,370
2,7,breakfast,rain_weekend,holiday,1,0.2045,123
2,7,lunch,rain_weekend,holiday,1,0.6368,382
2,7,dinner,rain_weekend,holiday,1,0.6059,364
3,7,breakfast,post_holiday,holiday,0,0.3971,238
3,7,lunch,post_holiday,holiday,0,0.5442,327
3,7,dinner,post_holiday,holiday,0,0.6611,397
4,7,breakfast,rain_weekend,holiday,1,0.2045,123
4,7,lunch,rain_weekend,holiday,1,0.6076,365
4,7,dinner,rain_weekend,holiday,1,0.7081,425
5,7,breakfast,rain_weekend,holiday,1,0.1741,104
5,7,lunch,rain_weekend,holiday,1,0.4921,295
5,7,dinner,rain_weekend,holiday,1,0.7201,432
6,7,breakfast,post_holiday,holiday,0,0.352,211
6,7,lunch,post_holiday,holiday,0,0.4611,277
6,7,dinner,post_holiday,holiday,0,0.6384,383
